"id","name","zipcode","country_id/id","state_id/id"
"city_100","中正區",100,"base.tw","l10n_tw.country_state_TPC"
"city_103","大同區",103,"base.tw","l10n_tw.country_state_TPC"
"city_104","中山區",104,"base.tw","l10n_tw.country_state_TPC"
"city_105","松山區",105,"base.tw","l10n_tw.country_state_TPC"
"city_106","大安區",106,"base.tw","l10n_tw.country_state_TPC"
"city_108","萬華區",108,"base.tw","l10n_tw.country_state_TPC"
"city_110","信義區",110,"base.tw","l10n_tw.country_state_TPC"
"city_111","士林區",111,"base.tw","l10n_tw.country_state_TPC"
"city_112","北投區",112,"base.tw","l10n_tw.country_state_TPC"
"city_114","內湖區",114,"base.tw","l10n_tw.country_state_TPC"
"city_115","南港區",115,"base.tw","l10n_tw.country_state_TPC"
"city_116","文山區",116,"base.tw","l10n_tw.country_state_TPC"
"city_200","仁愛區",200,"base.tw","l10n_tw.country_state_KLC"
"city_201","信義區",201,"base.tw","l10n_tw.country_state_KLC"
"city_202","中正區",202,"base.tw","l10n_tw.country_state_KLC"
"city_203","中山區",203,"base.tw","l10n_tw.country_state_KLC"
"city_204","安樂區",204,"base.tw","l10n_tw.country_state_KLC"
"city_205","暖暖區",205,"base.tw","l10n_tw.country_state_KLC"
"city_206","七堵區",206,"base.tw","l10n_tw.country_state_KLC"
"city_207","萬里區",207,"base.tw","l10n_tw.country_state_KLC"
"city_208","金山區",208,"base.tw","l10n_tw.country_state_KLC"
"city_209","南竿鄉",209,"base.tw","l10n_tw.country_state_LCC"
"city_210","北竿鄉",210,"base.tw","l10n_tw.country_state_LCC"
"city_211","莒光鄉",211,"base.tw","l10n_tw.country_state_LCC"
"city_212","東引鄉",212,"base.tw","l10n_tw.country_state_LCC"
"city_220","板橋區",220,"base.tw","l10n_tw.country_state_NTPC"
"city_221","汐止區",221,"base.tw","l10n_tw.country_state_NTPC"
"city_222","深坑區",222,"base.tw","l10n_tw.country_state_NTPC"
"city_223","石碇區",223,"base.tw","l10n_tw.country_state_NTPC"
"city_224","瑞芳區",224,"base.tw","l10n_tw.country_state_NTPC"
"city_226","平溪區",226,"base.tw","l10n_tw.country_state_NTPC"
"city_227","雙溪區",227,"base.tw","l10n_tw.country_state_NTPC"
"city_228","貢寮區",228,"base.tw","l10n_tw.country_state_NTPC"
"city_231","新店區",231,"base.tw","l10n_tw.country_state_NTPC"
"city_232","坪林區",232,"base.tw","l10n_tw.country_state_NTPC"
"city_233","烏來區",233,"base.tw","l10n_tw.country_state_NTPC"
"city_234","永和區",234,"base.tw","l10n_tw.country_state_NTPC"
"city_235","中和區",235,"base.tw","l10n_tw.country_state_NTPC"
"city_236","土城區",236,"base.tw","l10n_tw.country_state_NTPC"
"city_237","三峽區",237,"base.tw","l10n_tw.country_state_NTPC"
"city_238","樹林區",238,"base.tw","l10n_tw.country_state_NTPC"
"city_239","鶯歌區",239,"base.tw","l10n_tw.country_state_NTPC"
"city_241","三重區",241,"base.tw","l10n_tw.country_state_NTPC"
"city_242","新莊區",242,"base.tw","l10n_tw.country_state_NTPC"
"city_243","泰山區",243,"base.tw","l10n_tw.country_state_NTPC"
"city_244","林口區",244,"base.tw","l10n_tw.country_state_NTPC"
"city_247","蘆洲區",247,"base.tw","l10n_tw.country_state_NTPC"
"city_248","五股區",248,"base.tw","l10n_tw.country_state_NTPC"
"city_249","八里區",249,"base.tw","l10n_tw.country_state_NTPC"
"city_251","淡水區",251,"base.tw","l10n_tw.country_state_NTPC"
"city_252","三芝區",252,"base.tw","l10n_tw.country_state_NTPC"
"city_253","石門區",253,"base.tw","l10n_tw.country_state_NTPC"
"city_260","宜蘭市",260,"base.tw","l10n_tw.country_state_ILH"
"city_261","頭城鎮",261,"base.tw","l10n_tw.country_state_ILH"
"city_262","礁溪鄉",262,"base.tw","l10n_tw.country_state_ILH"
"city_263","壯圍鄉",263,"base.tw","l10n_tw.country_state_ILH"
"city_264","員山鄉",264,"base.tw","l10n_tw.country_state_ILH"
"city_265","羅東鎮",265,"base.tw","l10n_tw.country_state_ILH"
"city_266","三星鄉",266,"base.tw","l10n_tw.country_state_ILH"
"city_267","大同鄉",267,"base.tw","l10n_tw.country_state_ILH"
"city_268","五結鄉",268,"base.tw","l10n_tw.country_state_ILH"
"city_269","冬山鄉",269,"base.tw","l10n_tw.country_state_ILH"
"city_270","蘇澳鎮",270,"base.tw","l10n_tw.country_state_ILH"
"city_272","南澳鄉",272,"base.tw","l10n_tw.country_state_ILH"
"city_290","釣魚臺",290,"base.tw","l10n_tw.country_state_ILH"
"city_300","北區",300,"base.tw","l10n_tw.country_state_HCT"
"city_300_1","東區",300,"base.tw","l10n_tw.country_state_HCT"
"city_300_2","香山區",300,"base.tw","l10n_tw.country_state_HCT"
"city_302","竹北市",302,"base.tw","l10n_tw.country_state_HCH"
"city_303","湖口鄉",303,"base.tw","l10n_tw.country_state_HCH"
"city_304","新豐鄉",304,"base.tw","l10n_tw.country_state_HCH"
"city_305","新埔鎮",305,"base.tw","l10n_tw.country_state_HCH"
"city_306","關西鎮",306,"base.tw","l10n_tw.country_state_HCH"
"city_307","芎林鄉",307,"base.tw","l10n_tw.country_state_HCH"
"city_308","寶山鄉",308,"base.tw","l10n_tw.country_state_HCH"
"city_310","竹東鎮",310,"base.tw","l10n_tw.country_state_HCH"
"city_311","五峰鄉",311,"base.tw","l10n_tw.country_state_HCH"
"city_312","橫山鄉",312,"base.tw","l10n_tw.country_state_HCH"
"city_313","尖石鄉",313,"base.tw","l10n_tw.country_state_HCH"
"city_314","北埔鄉",314,"base.tw","l10n_tw.country_state_HCH"
"city_315","峨眉鄉",315,"base.tw","l10n_tw.country_state_HCH"
"city_320","中壢區",320,"base.tw","l10n_tw.country_state_TYC"
"city_324","平鎮區",324,"base.tw","l10n_tw.country_state_TYC"
"city_325","龍潭區",325,"base.tw","l10n_tw.country_state_TYC"
"city_326","楊梅區",326,"base.tw","l10n_tw.country_state_TYC"
"city_327","新屋區",327,"base.tw","l10n_tw.country_state_TYC"
"city_328","觀音區",328,"base.tw","l10n_tw.country_state_TYC"
"city_330","桃園區",330,"base.tw","l10n_tw.country_state_TYC"
"city_333","龜山區",333,"base.tw","l10n_tw.country_state_TYC"
