"id","name","code","user_type_id/id","chart_template_id/id","tag_ids/id","reconcile"
"account_account_100000","資產",100000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_110000","流動資產",110000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_111000","現金和約當現金",111000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_111200","零用金／週轉金",111200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_111400","流動性轉移",111400,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_111500","約當現金",111500,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_112000","透過損益按公允價值衡量之金融資產—流動",112000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_112100","透過損益按公允價值衡量之金融資產—流動",112100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_112200","透過損益按公允價值衡量之金融資產評價調整—流動",112200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_113000","備供出售金融資產—流動",113000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_113100","備供出售金融資產—流動",113100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_113200","備供出售金融資產評價調整—流動",113200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_113300","累計減損—備供出售金融資產—流動",113300,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_114000","以成本衡量之金融資產—流動",114000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_114100","以成本衡量之金融資產—流動",114100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_114200","累計減損—以成本衡量之金融資產—流動",114200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_115000","無活絡市場之債務工具投資－流動",115000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_115100","無活絡市場之債務工具投資－流動",115100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_115200","累計減損—無活絡市場之債務工具投資－流動",115200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_116000","持有至到期日金融資產－流動",116000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_116100","持有至到期日金融資產－流動",116100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_116200","累計減損—持有至到期日金融資產－流動",116200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_117000","避險之衍生金融資產—流動",117000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_117100","避險之衍生金融資產—流動",117100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_117200","避險之衍生金融資產評價調整—流動",117200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_118000","應收票據淨額",118000,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_118100","應收票據",118100,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_118200","應收票據貼現",118200,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_118300","應收票據－關係人",118300,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
"account_account_118400","其他應收票據",118400,"account.data_account_type_liquidity","l10n_tw.tw_chart_template","","FALSE"
